INPUT TO THE SCRIPT: N = 6
TOTAL NUMBER OF PERMUTATIONS = 720
Base-10	Base-!	sum	permutation
(0)_10	(000000)_!	0	abcdef
(1)_10	(000010)_!	1	abcdfe
(2)_10	(000100)_!	1	abcedf
(3)_10	(000110)_!	2	abcefd
(4)_10	(000200)_!	2	abcfde
(5)_10	(000210)_!	3	abcfed
(6)_10	(001000)_!	1	abdcef
(7)_10	(001010)_!	2	abdcfe
(8)_10	(001100)_!	2	abdecf
(9)_10	(001110)_!	3	abdefc
(10)_10	(001200)_!	3	abdfce
(11)_10	(001210)_!	4	abdfec
(12)_10	(002000)_!	2	abecdf
(13)_10	(002010)_!	3	abecfd
(14)_10	(002100)_!	3	abedcf
(15)_10	(002110)_!	4	abedfc
(16)_10	(002200)_!	4	abefcd
(17)_10	(002210)_!	5	abefdc
(18)_10	(003000)_!	3	abfcde
(19)_10	(003010)_!	4	abfced
(20)_10	(003100)_!	4	abfdce
(21)_10	(003110)_!	5	abfdec
(22)_10	(003200)_!	5	abfecd
(23)_10	(003210)_!	6	abfedc
(24)_10	(010000)_!	1	acbdef
(25)_10	(010010)_!	2	acbdfe
(26)_10	(010100)_!	2	acbedf
(27)_10	(010110)_!	3	acbefd
(28)_10	(010200)_!	3	acbfde
(29)_10	(010210)_!	4	acbfed
(30)_10	(011000)_!	2	acdbef
(31)_10	(011010)_!	3	acdbfe
(32)_10	(011100)_!	3	acdebf
(33)_10	(011110)_!	4	acdefb
(34)_10	(011200)_!	4	acdfbe
(35)_10	(011210)_!	5	acdfeb
(36)_10	(012000)_!	3	acebdf
(37)_10	(012010)_!	4	acebfd
(38)_10	(012100)_!	4	acedbf
(39)_10	(012110)_!	5	acedfb
(40)_10	(012200)_!	5	acefbd
(41)_10	(012210)_!	6	acefdb
(42)_10	(013000)_!	4	acfbde
(43)_10	(013010)_!	5	acfbed
(44)_10	(013100)_!	5	acfdbe
(45)_10	(013110)_!	6	acfdeb
(46)_10	(013200)_!	6	acfebd
(47)_10	(013210)_!	7	acfedb
(48)_10	(020000)_!	2	adbcef
(49)_10	(020010)_!	3	adbcfe
(50)_10	(020100)_!	3	adbecf
(51)_10	(020110)_!	4	adbefc
(52)_10	(020200)_!	4	adbfce
(53)_10	(020210)_!	5	adbfec
(54)_10	(021000)_!	3	adcbef
(55)_10	(021010)_!	4	adcbfe
(56)_10	(021100)_!	4	adcebf
(57)_10	(021110)_!	5	adcefb
(58)_10	(021200)_!	5	adcfbe
(59)_10	(021210)_!	6	adcfeb
(60)_10	(022000)_!	4	adebcf
(61)_10	(022010)_!	5	adebfc
(62)_10	(022100)_!	5	adecbf
(63)_10	(022110)_!	6	adecfb
(64)_10	(022200)_!	6	adefbc
(65)_10	(022210)_!	7	adefcb
(66)_10	(023000)_!	5	adfbce
(67)_10	(023010)_!	6	adfbec
(68)_10	(023100)_!	6	adfcbe
(69)_10	(023110)_!	7	adfceb
(70)_10	(023200)_!	7	adfebc
(71)_10	(023210)_!	8	adfecb
(72)_10	(030000)_!	3	aebcdf
(73)_10	(030010)_!	4	aebcfd
(74)_10	(030100)_!	4	aebdcf
(75)_10	(030110)_!	5	aebdfc
(76)_10	(030200)_!	5	aebfcd
(77)_10	(030210)_!	6	aebfdc
(78)_10	(031000)_!	4	aecbdf
(79)_10	(031010)_!	5	aecbfd
(80)_10	(031100)_!	5	aecdbf
(81)_10	(031110)_!	6	aecdfb
(82)_10	(031200)_!	6	aecfbd
(83)_10	(031210)_!	7	aecfdb
(84)_10	(032000)_!	5	aedbcf
(85)_10	(032010)_!	6	aedbfc
(86)_10	(032100)_!	6	aedcbf
(87)_10	(032110)_!	7	aedcfb
(88)_10	(032200)_!	7	aedfbc
(89)_10	(032210)_!	8	aedfcb
(90)_10	(033000)_!	6	aefbcd
(91)_10	(033010)_!	7	aefbdc
(92)_10	(033100)_!	7	aefcbd
(93)_10	(033110)_!	8	aefcdb
(94)_10	(033200)_!	8	aefdbc
(95)_10	(033210)_!	9	aefdcb
(96)_10	(040000)_!	4	afbcde
(97)_10	(040010)_!	5	afbced
(98)_10	(040100)_!	5	afbdce
(99)_10	(040110)_!	6	afbdec
(100)_10	(040200)_!	6	afbecd
(101)_10	(040210)_!	7	afbedc
(102)_10	(041000)_!	5	afcbde
(103)_10	(041010)_!	6	afcbed
(104)_10	(041100)_!	6	afcdbe
(105)_10	(041110)_!	7	afcdeb
(106)_10	(041200)_!	7	afcebd
(107)_10	(041210)_!	8	afcedb
(108)_10	(042000)_!	6	afdbce
(109)_10	(042010)_!	7	afdbec
(110)_10	(042100)_!	7	afdcbe
(111)_10	(042110)_!	8	afdceb
(112)_10	(042200)_!	8	afdebc
(113)_10	(042210)_!	9	afdecb
(114)_10	(043000)_!	7	afebcd
(115)_10	(043010)_!	8	afebdc
(116)_10	(043100)_!	8	afecbd
(117)_10	(043110)_!	9	afecdb
(118)_10	(043200)_!	9	afedbc
(119)_10	(043210)_!	10	afedcb
(120)_10	(100000)_!	1	bacdef
(121)_10	(100010)_!	2	bacdfe
(122)_10	(100100)_!	2	bacedf
(123)_10	(100110)_!	3	bacefd
(124)_10	(100200)_!	3	bacfde
(125)_10	(100210)_!	4	bacfed
(126)_10	(101000)_!	2	badcef
(127)_10	(101010)_!	3	badcfe
(128)_10	(101100)_!	3	badecf
(129)_10	(101110)_!	4	badefc
(130)_10	(101200)_!	4	badfce
(131)_10	(101210)_!	5	badfec
(132)_10	(102000)_!	3	baecdf
(133)_10	(102010)_!	4	baecfd
(134)_10	(102100)_!	4	baedcf
(135)_10	(102110)_!	5	baedfc
(136)_10	(102200)_!	5	baefcd
(137)_10	(102210)_!	6	baefdc
(138)_10	(103000)_!	4	bafcde
(139)_10	(103010)_!	5	bafced
(140)_10	(103100)_!	5	bafdce
(141)_10	(103110)_!	6	bafdec
(142)_10	(103200)_!	6	bafecd
(143)_10	(103210)_!	7	bafedc
(144)_10	(110000)_!	2	bcadef
(145)_10	(110010)_!	3	bcadfe
(146)_10	(110100)_!	3	bcaedf
(147)_10	(110110)_!	4	bcaefd
(148)_10	(110200)_!	4	bcafde
(149)_10	(110210)_!	5	bcafed
(150)_10	(111000)_!	3	bcdaef
(151)_10	(111010)_!	4	bcdafe
(152)_10	(111100)_!	4	bcdeaf
(153)_10	(111110)_!	5	bcdefa
(154)_10	(111200)_!	5	bcdfae
(155)_10	(111210)_!	6	bcdfea
(156)_10	(112000)_!	4	bceadf
(157)_10	(112010)_!	5	bceafd
(158)_10	(112100)_!	5	bcedaf
(159)_10	(112110)_!	6	bcedfa
(160)_10	(112200)_!	6	bcefad
(161)_10	(112210)_!	7	bcefda
(162)_10	(113000)_!	5	bcfade
(163)_10	(113010)_!	6	bcfaed
(164)_10	(113100)_!	6	bcfdae
(165)_10	(113110)_!	7	bcfdea
(166)_10	(113200)_!	7	bcfead
(167)_10	(113210)_!	8	bcfeda
(168)_10	(120000)_!	3	bdacef
(169)_10	(120010)_!	4	bdacfe
(170)_10	(120100)_!	4	bdaecf
(171)_10	(120110)_!	5	bdaefc
(172)_10	(120200)_!	5	bdafce
(173)_10	(120210)_!	6	bdafec
(174)_10	(121000)_!	4	bdcaef
(175)_10	(121010)_!	5	bdcafe
(176)_10	(121100)_!	5	bdceaf
(177)_10	(121110)_!	6	bdcefa
(178)_10	(121200)_!	6	bdcfae
(179)_10	(121210)_!	7	bdcfea
(180)_10	(122000)_!	5	bdeacf
(181)_10	(122010)_!	6	bdeafc
(182)_10	(122100)_!	6	bdecaf
(183)_10	(122110)_!	7	bdecfa
(184)_10	(122200)_!	7	bdefac
(185)_10	(122210)_!	8	bdefca
(186)_10	(123000)_!	6	bdface
(187)_10	(123010)_!	7	bdfaec
(188)_10	(123100)_!	7	bdfcae
(189)_10	(123110)_!	8	bdfcea
(190)_10	(123200)_!	8	bdfeac
(191)_10	(123210)_!	9	bdfeca
(192)_10	(130000)_!	4	beacdf
(193)_10	(130010)_!	5	beacfd
(194)_10	(130100)_!	5	beadcf
(195)_10	(130110)_!	6	beadfc
(196)_10	(130200)_!	6	beafcd
(197)_10	(130210)_!	7	beafdc
(198)_10	(131000)_!	5	becadf
(199)_10	(131010)_!	6	becafd
(200)_10	(131100)_!	6	becdaf
(201)_10	(131110)_!	7	becdfa
(202)_10	(131200)_!	7	becfad
(203)_10	(131210)_!	8	becfda
(204)_10	(132000)_!	6	bedacf
(205)_10	(132010)_!	7	bedafc
(206)_10	(132100)_!	7	bedcaf
(207)_10	(132110)_!	8	bedcfa
(208)_10	(132200)_!	8	bedfac
(209)_10	(132210)_!	9	bedfca
(210)_10	(133000)_!	7	befacd
(211)_10	(133010)_!	8	befadc
(212)_10	(133100)_!	8	befcad
(213)_10	(133110)_!	9	befcda
(214)_10	(133200)_!	9	befdac
(215)_10	(133210)_!	10	befdca
(216)_10	(140000)_!	5	bfacde
(217)_10	(140010)_!	6	bfaced
(218)_10	(140100)_!	6	bfadce
(219)_10	(140110)_!	7	bfadec
(220)_10	(140200)_!	7	bfaecd
(221)_10	(140210)_!	8	bfaedc
(222)_10	(141000)_!	6	bfcade
(223)_10	(141010)_!	7	bfcaed
(224)_10	(141100)_!	7	bfcdae
(225)_10	(141110)_!	8	bfcdea
(226)_10	(141200)_!	8	bfcead
(227)_10	(141210)_!	9	bfceda
(228)_10	(142000)_!	7	bfdace
(229)_10	(142010)_!	8	bfdaec
(230)_10	(142100)_!	8	bfdcae
(231)_10	(142110)_!	9	bfdcea
(232)_10	(142200)_!	9	bfdeac
(233)_10	(142210)_!	10	bfdeca
(234)_10	(143000)_!	8	bfeacd
(235)_10	(143010)_!	9	bfeadc
(236)_10	(143100)_!	9	bfecad
(237)_10	(143110)_!	10	bfecda
(238)_10	(143200)_!	10	bfedac
(239)_10	(143210)_!	11	bfedca
(240)_10	(200000)_!	2	cabdef
(241)_10	(200010)_!	3	cabdfe
(242)_10	(200100)_!	3	cabedf
(243)_10	(200110)_!	4	cabefd
(244)_10	(200200)_!	4	cabfde
(245)_10	(200210)_!	5	cabfed
(246)_10	(201000)_!	3	cadbef
(247)_10	(201010)_!	4	cadbfe
